1,2,3,4,5
2.0204638569999994e6,462657.9188187164,806998.993811679,1.2337855274156544e6,615930.1079539509
2.1404832569999998e6,496798.7046314154,866549.6438235373,1.324829916189664e6,661381.2653553828
2.087543955e6,477224.4900120496,832406.9849389464,1.272630695716872e6,635322.3833321318
1.9410429679999999e6,444682.69082445337,775645.3947163833,1.1858503786821289e6,591999.9347770349
1.8113980459999999e6,424143.4047329856,739819.393398292,1.1310775694588374e6,564656.2664098849
1.7143994989999994e6,402104.6243672375,701377.8735267515,1.0723060081148143e6,535316.3419911969
1.6384281199999999e6,385659.3101465982,672692.8527172992,1.0284507322102474e6,513422.921925855
1.5584992070000006e6,382399.78923610726,667007.3775787986,1.019758457503396e6,509083.56668169796
1.5030419400000002e6,382514.83966053685,667208.0562508275,1.0200652663632696e6,509236.73172536556
1.435503727e6,363805.1687571307,634573.3925404403,970171.5538720385,484328.80483039055
1.351633652e6,365050.21569656354,636745.0869749289,973491.762675008,485986.3186534991
1.323042856e6,368362.8368371722,642523.1830986827,982325.6415623064,490396.3655018382
1.3567957910000007e6,382283.13772294694,666803.9061803464,1.0194473789660269e6,508928.27013067954
1.4345087550000004e6,355163.38213916833,619499.808318134,947126.2090793257,472824.1134633718
1.4746599070000001e6,362736.85828275414,632709.9737101704,967322.6541807988,482906.5778262768
1.531469169e6,381281.5700302058,665056.9045893218,1.0167764645089995e6,507594.8968714727
1.6601941449999998e6,404778.12410967366,706041.1712124596,1.0794355203431777e6,538875.5353346893
1.798130806e6,402537.2450682645,702132.479589309,1.0734596923771529e6,535892.2839652735
1.8543269939999995e6,406903.1107275125,709747.7154921676,1.085102294061729e6,541704.5007185909
1.898529617e6,429431.74786129803,749043.676415809,1.1451801730247273e6,571696.564698166
1.8495127230000002e6,443148.4179959154,772969.2130743959,1.1817588814139303e6,589957.3785157588
1.851947056e6,448154.67198246386,781701.457278117,1.1951092283202172e6,596622.135419202
1.8103759259999993e6,439089.60377918644,765889.5569056832,1.1709351042010486e6,584553.9351140811
1.8387646679999998e6,402083.56074349716,701341.1329405147,1.0722498370366406e6,535288.3002793476
1.9628426809999992e6,416324.36963301065,726180.9075935554,1.1102262839791996e6,554246.8927942343
2.099370733e6,446900.5468180164,779513.9279942628,1.1917648103074143e6,594952.5358803067
2.072788519999999e6,478083.7761649403,833905.8095187779,1.2749221831770937e6,636466.3391391882
1.9494191250000002e6,445721.29861855385,777457.0041381872,1.188620069230805e6,593382.6190124536
1.8215956340000003e6,423971.4630800169,739519.4812271261,1.1306190468347478e6,564427.3628581092
1.6930485340000005e6,375174.0109793821,654403.6901771603,1.0004892301221279e6,499463.98772133025
1.611898585e6,341848.5258006056,596275.1422508113,911619.0311365355,455098.2288120476
1.5223408930000006e6,327828.4687069588,571820.4176961269,874231.2704777572,436433.5201191568
1.4682167730000003e6,293410.02147846896,511785.45200728707,782446.4326108206,390612.7159034234
1.4212908550000002e6,280928.8828179201,490015.01226985856,749162.5578111178,373996.7481011035
1.362633974e6,274609.4667273456,478992.2625899398,732310.3570875777,365583.7965951367
1.342206538e6,270663.92683152156,472110.187094283,721788.6523392012,360331.1537349941
1.3497908599999996e6,271531.9996169819,473624.3379083668,724103.5714098157,361486.80706483574
1.3747795979999993e6,280130.4098564501,488622.2621400492,747033.2429462394,372933.7520572615
1.40747334e6,294822.25841921085,514248.7704632043,786212.4926476135,392492.8074699713
1.4830818040000007e6,321609.6426659281,560973.1239318369,857647.3166430761,428154.48275915923
1.5820625409999995e6,345628.5189060561,602868.4599238393,921699.2666572923,460130.48151281156
1.6870697449999999e6,367784.31653622095,641514.0891617209,980782.8818999358,489626.1894021223
1.7700341870000004e6,378160.26008242636,659612.5062881672,1.0084527616531586e6,503439.5399762482
1.7904475390000006e6,381585.6736599853,665587.3425506414,1.0175874279487145e6,507999.74584065826
1.8054371749999996e6,382417.6110815811,667038.4636378072,1.0198059836217718e6,509107.29265884013
1.796755998e6,386697.99284109817,674504.5927854065,1.0312206224983527e6,514805.7058751424
1.794451112e6,385953.1834200747,673205.4462045331,1.0292344140126365e6,513814.15136275586
1.8423421290000002e6,394333.8777770834,687823.6157817824,1.0515834952382906e6,524971.2542028439
1.963866075e6,412452.0342726646,719426.5203618845,1.0998997962426594e6,549091.7061227915
2.0958858060000008e6,446107.4847800364,778130.6159603647,1.1896499249353006e6,593896.7433242983
2.0570202340000002e6,425712.41933301074,742556.1739698406,1.1352617137846441e6,566745.0739125044
1.9187724000000001e6,401290.7459509933,699958.2521687706,1.070135611002404e6,534232.8368778325
1.7812127400000005e6,376109.88241962943,656036.0999553073,1.0029849501596168e6,500709.9004654466
1.6801848250000004e6,363574.8538859427,634171.661884272,969557.3654117053,484022.18981807993
1.6470245259999998e6,396703.58817478124,691957.0237032335,1.057902882141493e6,528126.0169804923
1.5293438140000005e6,374522.859390562,653267.9078731672,998752.7821467181,498597.1185895527
1.4165707799999996e6,361278.70042639325,630166.5569111963,963434.1352844641,480965.3523779468
1.370395386e6,346442.8766848551,604288.917418161,923870.9421020482,461214.62479493563
1.3933284060000002e6,345280.48404155823,602261.3941544293,920771.1503074198,459667.1474965923
1.3701493509999998e6,344781.19041649584,601390.492702941,919439.6671024944,459002.4447780685
1.3297091099999999e6,328234.3649455621,572528.4091576829,875313.6877118552,436973.88418489986
1.44142755e6,351431.75066412636,612990.8462467104,937174.9411548282,467856.24393433525
1.6937915760000001e6,424073.78636929253,739697.9603758238,1.1308919158126484e6,564563.5844422347
1.9779882950000002e6,477637.615251555,833127.5857090582,1.273732390772289e6,635872.3712670982
2.0591771790000002e6,494930.89795229386,863291.6900538615,1.319848972916081e6,658894.680077764
2.093713613e6,500356.23420732265,872754.9256774447,1.3343169006885232e6,666117.3554267092
2.0497085500000003e6,490443.7584611922,855464.9201940536,1.307882966200467e6,652921.0131442867
2.0076744589999998e6,482109.36782758526,840927.5166788885,1.2856573646808227e6,641825.5538127038
2.0231097319999996e6,482298.42029134714,841257.2746746512,1.286161517283046e6,642077.2367509556
2.0190663649999998e6,485554.5441350211,846936.8244212117,1.2948447329168676e6,646412.0695269001
2.0162515779999995e6,501021.4682577275,873915.2715560945,1.33609090284076e6,667002.9723454183
2.0450027610000002e6,512623.3567684956,894152.0641704099,1.3670300515141976e6,682448.406546896
2.0709244789999994e6,526174.2146241959,917788.3799234321,1.4031665826884992e6,700488.476763873
2.207938582000001e6,548692.0153758745,957065.4393021062,1.4632155639046538e6,730466.1144173665
2.1383241780000003e6,509569.1507557615,888824.7130565176,1.358885296992588e6,678382.3841951331
1.99068976e6,502496.50213808584,876488.1246487782,1.3400244256013352e6,668966.6646118005
1.8459872350000003e6,477959.9531981154,833689.8291895238,1.2745919802815712e6,636301.4953307898
1.7041587539999993e6,450388.5434611808,785597.925840099,1.2010663689816904e6,599596.0577170294
1.6702750080000001e6,413752.5646097674,721694.9926624199,1.1033679644996282e6,550823.084228184
1.5133942399999995e6,355129.8033261562,619441.2378987984,947036.6633224349,472779.410452611
